Timestamp,SensorValue
2025-07-18 23:30:48,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:30:50,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:30:52,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:30:54,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:30:56,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:30:58,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:31:00,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:31:02,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:31:04,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:31:06,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:31:08,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:31:10,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:31:12,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:31:14,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:31:16,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:31:18,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:31:20,Temperature: 28.00°C  |  Humidity: 83.00%
2025-07-18 23:31:22,Temperature: 29.30°C  |  Humidity: 91.00%
2025-07-18 23:31:24,Temperature: 28.90°C  |  Humidity: 87.00%
2025-07-18 23:31:26,Temperature: 28.90°C  |  Humidity: 83.00%
2025-07-18 23:31:28,Temperature: 28.50°C  |  Humidity: 78.00%
2025-07-18 23:31:30,Temperature: 28.50°C  |  Humidity: 76.00%
2025-07-18 23:31:32,Temperature: 28.50°C  |  Humidity: 74.00%
2025-07-18 23:31:35,Temperature: 28.50°C  |  Humidity: 73.00%
2025-07-18 23:31:37,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:31:39,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:31:41,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:31:43,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:31:45,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:31:47,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:31:49,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:31:51,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:31:53,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:31:55,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:31:57,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:31:59,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:32:01,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:32:03,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:32:05,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:32:07,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:32:09,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:32:11,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:32:13,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:32:15,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:32:17,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:32:19,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:32:21,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:32:23,Temperature: 27.70°C  |  Humidity: 73.00%
2025-07-18 23:32:25,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:32:27,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:32:29,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:32:31,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:32:33,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:32:35,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:32:37,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:32:39,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:32:41,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:32:43,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:32:45,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:32:47,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:32:49,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:32:51,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:32:54,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:32:56,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:32:58,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:00,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:02,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:04,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:06,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:08,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:10,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:12,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:14,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:16,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:18,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:20,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:22,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:24,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:26,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:28,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:30,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:32,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:34,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:36,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:38,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:40,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:42,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:44,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:46,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:48,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:50,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:52,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:54,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:56,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:33:58,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:00,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:02,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:04,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:06,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:08,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:10,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:13,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:15,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:17,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:19,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:21,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:23,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:25,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:27,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:29,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:31,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:33,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:35,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:37,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:39,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:41,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:34:43,Temperature: 27.60°C  |  Humidity: 73.00%
